GI000A1J9JJ0|Admission price [CZK]|180.00
GI000A1J9JJ0|Date of listing|6/10/2013
GI000A1J9JJ0|Maximal price for the last year [CZK]|180.00
GI000A1J9JJ0|Minimal price for the last year [CZK]|180.00
GI000A1J9JJ0|Market Capitalization [mil. CZK]|900.000
GI000A1J9JJ0|P/E|0
CZ0009000089|Admission price [CZK]|150.00
CZ0009000089|Date of listing|6/1/2015
CZ0009000089|Maximal price for the last year [CZK]|175.50
CZ0009000089|Minimal price for the last year [CZK]|133.10
CZ0009000089|Market Capitalization [mil. CZK]|53.512.962
CZ0009000089|P/E|0
BMG200452024|Admission price [CZK]|1.220.00
BMG200452024|Date of listing|6/27/2005
BMG200452024|Maximal price for the last year [CZK]|72.55
BMG200452024|Minimal price for the last year [CZK]|45.05
BMG200452024|Market Capitalization [mil. CZK]|8.222.828
BMG200452024|P/E|1.43
CZ0005112300|Admission price [CZK]|88.63
CZ0005112300|Date of listing|6/22/1993
CZ0005112300|Maximal price for the last year [CZK]|658.00
CZ0005112300|Minimal price for the last year [CZK]|425.90
CZ0005112300|Market Capitalization [mil. CZK]|229.614.029
CZ0005112300|P/E|10.16
CZ0005112300|Gross yield per unit for 12/31/2014 [CZK]|40.00
CZ0005123620|Admission price [CZK]|80.00
CZ0005123620|Date of listing|8/25/2011
CZ0005123620|Maximal price for the last year [CZK]|100.00
CZ0005123620|Minimal price for the last year [CZK]|73.00
CZ0005123620|Market Capitalization [mil. CZK]|227.206
CZ0005123620|P/E|8.95
CZ0005123620|Gross yield per unit for 12/31/2014 [CZK]|5.60
CS0008419750|Admission price [CZK]|69.12
CS0008419750|Date of listing|6/22/1993
CS0008419750|Maximal price for the last year [CZK]|2.650.00
CS0008419750|Minimal price for the last year [CZK]|2.500.00
CS0008419750|Market Capitalization [mil. CZK]|1.756.706
CS0008419750|P/E|9.79
CS0008419750|Gross yield per unit for 12/31/2014 [CZK]|200.00
CZ0008467818|Admission price [CZK]|2.532.00
CZ0008467818|Date of listing|7/2/2012
CZ0008467818|Maximal price for the last year [CZK]|2.540.00
CZ0008467818|Minimal price for the last year [CZK]|2.540.00
CZ0008467818|Market Capitalization [mil. CZK]|3.810.000
CZ0008467818|P/E|9398.7
AT0000652011|Admission price [CZK]|1.909.00
AT0000652011|Date of listing|10/1/2002
AT0000652011|Maximal price for the last year [CZK]|782.50
AT0000652011|Minimal price for the last year [CZK]|525.50
AT0000652011|Market Capitalization [mil. CZK]|310.659.440
AT0000652011|P/E|447.12
AT0000652011|Gross yield per unit for 12/31/2013 [EUR]|0.20
NL0009604859|Admission price [CZK]|105.52
NL0009604859|Date of listing|10/22/2010
NL0009604859|Maximal price for the last year [CZK]|131.70
NL0009604859|Minimal price for the last year [CZK]|56.40
NL0009604859|Market Capitalization [mil. CZK]|4.212.000
NL0009604859|P/E|9.67
NL0009604859|Gross yield per unit for 12/31/2013 [EUR]|0.22
CS0008446753|Admission price [CZK]|827.40
CS0008446753|Date of listing|6/22/1993
CS0008446753|Maximal price for the last year [CZK]|1.270.00
CS0008446753|Minimal price for the last year [CZK]|900.00
CS0008446753|Market Capitalization [mil. CZK]|372.447
CS0008446753|P/E|15.96
CS0008446753|Gross yield per unit for 12/31/2010 [CZK]|327.00
CZ0009000121|Admission price [CZK]|424.3000
CZ0009000121|Date of listing|10/1/2015
CZ0009000121|Maximal price for the last year [CZK]|515.00
CZ0009000121|Minimal price for the last year (from 12/2/2015) [CZK]|479.00
CZ0009000121|Market Capitalization [mil. CZK]|10.969.140
CZ0009000121|P/E|0
CZ0008019106|Admission price [CZK]|612.50
CZ0008019106|Date of listing|6/22/1993
CZ0008019106|Maximal price for the last year [CZK]|5.667.00
CZ0008019106|Minimal price for the last year [CZK]|4.590.00
CZ0008019106|Market Capitalization [mil. CZK]|182.371.270
CZ0008019106|P/E|14.09
CZ0008019106|Gross yield per unit for 12/31/2014 [CZK]|310.00
GB00B42CTW68|Admission price [CZK]|284.90
GB00B42CTW68|Date of listing|5/6/2011
GB00B42CTW68|Maximal price for the last year [CZK]|0.49
GB00B42CTW68|Minimal price for the last year [CZK]|0.10
GB00B42CTW68|Market Capitalization [mil. CZK]|666.209
GB00B42CTW68|P/E|0
GB00B42CTW68|Gross yield per unit for 6/30/2012 [EUR]|0.06
LU0275164910|Admission price [CZK]|750.00
LU0275164910|Date of listing|12/18/2006
LU0275164910|Maximal price for the last year [CZK]|953.00
LU0275164910|Minimal price for the last year [CZK]|626.60
LU0275164910|Market Capitalization [mil. CZK]|6.654.397
LU0275164910|P/E|8.91
LU0275164910|Gross yield per unit for 12/31/2014 [EUR]|1.15
CS0008418869|Admission price [CZK]|7.222.00
CS0008418869|Date of listing|7/13/1993
CS0008418869|Maximal price for the last year [CZK]|12.049.00
CS0008418869|Minimal price for the last year [CZK]|10.202.00
CS0008418869|Market Capitalization [mil. CZK]|22.677.321
CS0008418869|P/E|14.46
CS0008418869|Gross yield per unit for 12/31/2014 [CZK]|880.00
CZ0005124420|Admission price [CZK]|160.00
CZ0005124420|Date of listing|5/28/2014
CZ0005124420|Maximal price for the last year [CZK]|206.60
CZ0005124420|Minimal price for the last year [CZK]|170.00
CZ0005124420|Market Capitalization [mil. CZK]|2.414.638
CZ0005124420|P/E|0
CZ0009055158|Admission price [CZK]|195.00
CZ0009055158|Date of listing|3/1/1995
CZ0009055158|Maximal price for the last year [CZK]|1.390.00
CZ0009055158|Minimal price for the last year [CZK]|802.00
CZ0009055158|Market Capitalization [mil. CZK]|2.139.672
CZ0009055158|P/E|46.69
CZ0009055158|Gross yield per unit for 12/31/2010 [CZK]|51.31
CS0008416251|Admission price [CZK]|4.000.00
CS0008416251|Date of listing|6/22/1993
CS0008416251|Maximal price for the last year [CZK]|1.10
CS0008416251|Minimal price for the last year [CZK]|0.78
CS0008416251|Market Capitalization [mil. CZK]|884.009
CS0008416251|P/E|0
CS0008416251|Gross yield per unit for 12/31/2003 [CZK]|1.530.00
GB00BF5SDZ96|Admission price [CZK]|68.60
GB00BF5SDZ96|Date of listing|10/23/2013
GB00BF5SDZ96|Maximal price for the last year [CZK]|85.75
GB00BF5SDZ96|Minimal price for the last year [CZK]|39.35
GB00BF5SDZ96|Market Capitalization [mil. CZK]|9.600.000
GB00BF5SDZ96|P/E|9.64
GB00BF5SDZ96|Gross yield per unit for 12/31/2014 [EUR]|0.03
CZ0009093209|Admission price [CZK]|576.50
CZ0009093209|Date of listing|3/1/1995
CZ0009093209|Maximal price for the last year [CZK]|261.00
CZ0009093209|Minimal price for the last year [CZK]|69.20
CZ0009093209|Market Capitalization [mil. CZK]|76.717.420
CZ0009093209|P/E|19.25
CZ0009093209|Gross yield per unit for 12/31/2014 [CZK]|13.00
SK1120010287|Admission price [CZK]|1.085.00
SK1120010287|Date of listing|10/22/2012
