GI000A1J9JJ0;Zahajovací cena [CZK];180.00
GI000A1J9JJ0;Zahájení obchodování;10. 6. 2013
GI000A1J9JJ0;Maximum za poslední rok [CZK];180.00
GI000A1J9JJ0;Minimum za poslední rok [CZK];180.00
GI000A1J9JJ0;Tržní kapitalizace [mil. CZK];900.000
GI000A1J9JJ0;P/E;428.57
BMG200452024;Zahajovací cena [CZK];1220.00
BMG200452024;Zahájení obchodování;27. 6. 2005
BMG200452024;Maximum za poslední rok [CZK];85.00
BMG200452024;Minimum za poslední rok [CZK];43.50
BMG200452024;Tržní kapitalizace [mil. CZK];7281.037
BMG200452024;P/E;0
CZ0005112300;Zahajovací cena [CZK];88.63
CZ0005112300;Zahájení obchodování;22. 6. 1993
CZ0005112300;Maximum za poslední rok [CZK];663.00
CZ0005112300;Minimum za poslední rok [CZK];490.00
CZ0005112300;Tržní kapitalizace [mil. CZK];330325.712
CZ0005112300;P/E;9.28
CZ0005112300;Dividenda hrubá za období k 31. 12. 2013 [CZK];40.00
CZ0005123620;Zahajovací cena [CZK];80.00
CZ0005123620;Zahájení obchodování;25. 8. 2011
CZ0005123620;Maximum za poslední rok [CZK];76.80
CZ0005123620;Minimum za poslední rok [CZK];66.50
CZ0005123620;Tržní kapitalizace [mil. CZK];182.482
CZ0005123620;P/E;15.66
CZ0005123620;Dividenda hrubá za období k 31. 12. 2013 [CZK];5.60
CS0008419750;Zahajovací cena [CZK];69.12
CS0008419750;Zahájení obchodování;22. 6. 1993
CS0008419750;Maximum za poslední rok [CZK];2394.00
CS0008419750;Minimum za poslední rok [CZK];1900.00
CS0008419750;Tržní kapitalizace [mil. CZK];1678.194
CS0008419750;P/E;9.1
CS0008419750;Dividenda hrubá za období k 31. 12. 2013 [CZK];200.00
CZ0008467818;Zahajovací cena [CZK];2532.00
CZ0008467818;Zahájení obchodování;2. 7. 2012
CZ0008467818;Maximum za poslední rok [CZK];2540.00
CZ0008467818;Minimum za poslední rok [CZK];2540.00
CZ0008467818;Tržní kapitalizace [mil. CZK];3810.000
CZ0008467818;P/E;0
AT0000652011;Zahajovací cena [CZK];1909.00
AT0000652011;Zahájení obchodování;1. 10. 2002
AT0000652011;Maximum za poslední rok [CZK];801.80
AT0000652011;Minimum za poslední rok [CZK];459.80
AT0000652011;Tržní kapitalizace [mil. CZK];242965.940
AT0000652011;P/E;324.23
AT0000652011;Dividenda hrubá za období k 31. 12. 2013 [EUR];0.20
NL0009604859;Zahajovací cena [CZK];105.52
NL0009604859;Zahájení obchodování;22. 10. 2010
NL0009604859;Maximum za poslední rok [CZK];136.40
NL0009604859;Minimum za poslední rok [CZK];110.60
NL0009604859;Tržní kapitalizace [mil. CZK];6305.000
NL0009604859;P/E;15.48
NL0009604859;Dividenda hrubá za období k 31. 12. 2013 [EUR];0.22
CS0008446753;Zahajovací cena [CZK];827.40
CS0008446753;Zahájení obchodování;22. 6. 1993
CS0008446753;Maximum za poslední rok [CZK];1100.00
CS0008446753;Minimum za poslední rok [CZK];778.00
CS0008446753;Tržní kapitalizace [mil. CZK];330.992
CS0008446753;P/E;11.52
CS0008446753;Dividenda hrubá za období k 31. 12. 2010 [CZK];327.00
CZ0008019106;Zahajovací cena [CZK];612.50
CZ0008019106;Zahájení obchodování;22. 6. 1993
CZ0008019106;Maximum za poslední rok [CZK];5179.00
CZ0008019106;Minimum za poslední rok [CZK];4200.00
CZ0008019106;Tržní kapitalizace [mil. CZK];180736.846
CZ0008019106;P/E;14.77
CZ0008019106;Dividenda hrubá za období k 31. 12. 2013 [CZK];230.00
GB00B42CTW68;Zahajovací cena [CZK];284.90
GB00B42CTW68;Zahájení obchodování;6. 5. 2011
GB00B42CTW68;Maximum za poslední rok [CZK];28.00
GB00B42CTW68;Minimum za poslední rok [CZK];0.45
GB00B42CTW68;Tržní kapitalizace [mil. CZK];3329.589
GB00B42CTW68;P/E;0.26
GB00B42CTW68;Dividenda hrubá za období k 30. 6. 2012 [EUR];0.06
LU0275164910;Zahajovací cena [CZK];750.00
LU0275164910;Zahájení obchodování;18. 12. 2006
LU0275164910;Maximum za poslední rok [CZK];659.00
LU0275164910;Minimum za poslední rok [CZK];571.30
LU0275164910;Tržní kapitalizace [mil. CZK];5860.669
LU0275164910;P/E;154.04
LU0275164910;Dividenda hrubá za období k 31. 12. 2013 [EUR];1.10
CS0008418869;Zahajovací cena [CZK];7222.00
CS0008418869;Zahájení obchodování;13. 7. 1993
CS0008418869;Maximum za poslední rok [CZK];11459.00
CS0008418869;Minimum za poslední rok [CZK];9851.00
CS0008418869;Tržní kapitalizace [mil. CZK];18851.839
CS0008418869;P/E;13.01
CS0008418869;Dividenda hrubá za období k 31. 12. 2013 [CZK];820.00
CZ0005124420;Zahajovací cena [CZK];160.00
CZ0005124420;Zahájení obchodování;28. 5. 2014
CZ0005124420;Maximum za poslední rok [CZK];176.00
CZ0005124420;Minimum za poslední rok [CZK];155.00
CZ0005124420;Tržní kapitalizace [mil. CZK];1963.500
CZ0005124420;P/E;0
CZ0009055158;Zahajovací cena [CZK];195.00
CZ0009055158;Zahájení obchodování;1. 3. 1995
CZ0009055158;Maximum za poslední rok [CZK];1497.00
CZ0009055158;Minimum za poslední rok [CZK];594.10
CZ0009055158;Tržní kapitalizace [mil. CZK];1089.288
CZ0009055158;P/E;62.72
CZ0009055158;Dividenda hrubá za období k 31. 12. 2010 [CZK];51.31
CS0008416251;Zahajovací cena [CZK];4000.00
CS0008416251;Zahájení obchodování;22. 6. 1993
CS0008416251;Maximum za poslední rok [CZK];1.15
CS0008416251;Minimum za poslední rok [CZK];0.80
CS0008416251;Tržní kapitalizace [mil. CZK];1224.832
CS0008416251;P/E;6.39
CS0008416251;Dividenda hrubá za období k 31. 12. 2003 [CZK];1530.00
GB00BF5SDZ96;Zahajovací cena [CZK];68.60
GB00BF5SDZ96;Zahájení obchodování;23. 10. 2013
GB00BF5SDZ96;Maximum za poslední rok [CZK];109.80
GB00BF5SDZ96;Minimum za poslední rok [CZK];71.50
GB00BF5SDZ96;Tržní kapitalizace [mil. CZK];21830.000
GB00BF5SDZ96;P/E;75.86
CZ0009093209;Zahajovací cena [CZK];576.50
CZ0009093209;Zahájení obchodování;1. 3. 1995
CZ0009093209;Maximum za poslední rok [CZK];315.90
CZ0009093209;Minimum za poslední rok [CZK];248.00
CZ0009093209;Tržní kapitalizace [mil. CZK];78280.727
CZ0009093209;P/E;16.43
CZ0009093209;Dividenda hrubá za období k 31. 12. 2013 [CZK];18.00
SK1120010287;Zahajovací cena [CZK];1085.00
SK1120010287;Zahájení obchodování;22. 10. 2012
SK1120010287;Maximum za poslední rok [CZK];608.00
SK1120010287;Minimum za poslední rok [CZK];524.40
SK1120010287;Tržní kapitalizace [mil. CZK];3892.858
SK1120010287;P/E;20.45
SK1120010287;Dividenda hrubá za období k 31. 10. 2012 [EUR];1.06
CZ0005088559;Zahajovací cena [CZK];46.20
CZ0005088559;Zahájení obchodování;1. 3. 1995
CZ0005088559;Maximum za poslední rok [CZK];823.00
CZ0005088559;Minimum za poslední rok [CZK];600.00
CZ0005088559;Tržní kapitalizace [mil. CZK];1214.313
CZ0005088559;P/E;8.59
CZ0009091500;Zahajovací cena [CZK];115.00
CZ0009091500;Zahájení obchodování;28. 8. 1997
CZ0009091500;Maximum za poslední rok [CZK];172.50
CZ0009091500;Minimum za poslední rok [CZK];113.20
CZ0009091500;Tržní kapitalizace [mil. CZK];23573.519
CZ0009091500;P/E;0
CZ0009091500;Dividenda hrubá za období k 31. 12. 2007 [CZK];17.65
BE0003878957;Zahajovací cena [CZK];398.00
BE0003878957;Zahájení obchodování;7. 12. 2007
BE0003878957;Maximum za poslední rok [CZK];400.00
BE0003878957;Minimum za poslední rok [CZK];350.00
BE0003878957;Tržní kapitalizace [mil. CZK];7433.220
BE0003878957;P/E;11.04
BE0003878957;Dividenda hrubá za období k 31. 12. 2009 [EUR];0.28
AT0000908504;Zahajovací cena [CZK];1393.00
AT0000908504;Zahájení obchodování;5. 2. 2008
AT0000908504;Maximum za poslední rok [CZK];1092.00
AT0000908504;Minimum za poslední rok [CZK];921.00
AT0000908504;Tržní kapitalizace [mil. CZK];135040.000
AT0000908504;P/E;23.52
AT0000908504;Dividenda hrubá za období k 31. 12. 2013 [EUR];1.30
